Country,Year,Per capita income
Aruba,2002,20436.8871286309
Aruba,2003,20833.7616116694
Aruba,2004,22569.9749851801
Aruba,2005,23300.0395575696
Aruba,2006,24045.2724833547
Aruba,2007,25835.1326676284
Aruba,2008,27084.7036903653
Afghanistan,2002,179.426494467624
Afghanistan,2003,190.684008786064
Afghanistan,2004,211.381969507195
Afghanistan,2005,242.031379173351
Afghanistan,2006,263.733734678911
Afghanistan,2007,359.693480030525
Afghanistan,2008,364.660465388571
Angola,2002,872.494491592841
Angola,2003,982.960899291112
Angola,2004,1255.56404471491
Angola,2005,1902.42234554625
Angola,2006,2599.56646397608
Angola,2007,3121.99563726236
Angola,2008,4080.94140992346
Albania,2002,1425.12484888368
Albania,2003,1846.11881331912
Albania,2004,2373.57984371994
Albania,2005,2673.78728253113
Albania,2006,2972.74326462176
Albania,2007,3595.03716321514
Albania,2008,4370.54008654749
Andorra,2002,24741.4935704562
Andorra,2003,32776.4422698769
Andorra,2004,38503.4796144857
Andorra,2005,41282.0201219785
Andorra,2006,43747.6918489433
Andorra,2007,48582.2208830236
Andorra,2008,47785.089272664
Arab World,2002,2475.10426210893
Arab World,2003,2734.81732058617
Arab World,2004,3132.85713396506
Arab World,2005,3763.34802661316
Arab World,2006,4356.83076482481
Arab World,2007,4960.66331494795
Arab World,2008,6143.34471440794
United Arab Emirates,2002,31567.4737120596
United Arab Emirates,2003,33499.0937513705
United Arab Emirates,2004,36333.2498445266
United Arab Emirates,2005,39365.4338996517
United Arab Emirates,2006,41907.405655968
United Arab Emirates,2007,41809.516382842
United Arab Emirates,2008,44498.9342301633
Argentina,2002,2593.40415042466
Argentina,2003,3349.8061244115
Argentina,2004,4277.72135064389
Argentina,2005,5109.85132522621
Argentina,2006,5919.01203707753
Argentina,2007,7245.44831728945
Argentina,2008,9020.87309807194
Armenia,2002,783.240698647042
Armenia,2003,930.127321851799
Armenia,2004,1191.91901957402
Armenia,2005,1643.7530293611
Armenia,2006,2158.14369710179
Armenia,2007,3139.27749894333
Armenia,2008,4010.85724255226
American Samoa,2002,8700.06770480704
American Samoa,2003,8856.54745899435
American Samoa,2004,8578.94472277609
American Samoa,2005,8444.98169974145
American Samoa,2006,8391.56106721708
American Samoa,2007,8909.44915617236
American Samoa,2008,9792.66680581646
Antigua and Barbuda,2002,10404.4362134662
Antigua and Barbuda,2003,10789.950959787
Antigua and Barbuda,2004,11446.6384702767
Antigua and Barbuda,2005,12547.6130399103
Antigua and Barbuda,2006,13989.7156660433
Antigua and Barbuda,2007,15607.0898690088
Antigua and Barbuda,2008,16024.3455512142
Australia,2002,20082.4832672749
Australia,2003,23447.0310006717
Australia,2004,30430.6764374443
Australia,2005,33999.2428575835
Australia,2006,36044.9228108485
Australia,2007,40960.0544948199
Australia,2008,49601.6567082178
Austria,2002,26401.7454564357
Austria,2003,32222.8972411655
Austria,2004,36821.5214680093
Austria,2005,38403.1338770715
Austria,2006,40635.2818159724
Austria,2007,46855.7717452095
Austria,2008,51708.7657541758
